entity,n-authors,n-revs
hibernate-core/src/main/java/org/hibernate/dialect/AbstractTransactSQLDialect.java,3,4
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/AbstractCollectionMapper.java,3,4
hibernate-core/src/main/java/org/hibernate/loader/criteria/CriteriaJoinWalker.java,3,4
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/BasicFormatterImpl.java,3,4
hibernate-core/src/main/java/org/hibernate/id/insert/AbstractSelectingDelegate.java,3,4
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/util/Caches.java,3,4
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/TransactionRollbackBehaviour.java,3,4
hibernate-core/src/test/java/org/hibernate/test/transaction/jta/BasicDrivingTest.java,3,4
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/FetchOwnerDelegate.java,3,4
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/RevisionConstraintQuery.java,3,4
hibernate-core/src/main/java/org/hibernate/metamodel/source/internal/MetadataImpl.java,3,4
hibernate-core/src/main/java/org/hibernate/engine/spi/CollectionEntry.java,3,4
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/collection/embeddable/EmbeddableSet.java,3,4
hibernate-core/src/main/java/org/hibernate/engine/internal/JoinSequence.java,3,4
hibernate-core/src/main/java/org/hibernate/dialect/IngresDialect.java,3,4
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/SortedSetCollectionMapper.java,3,4
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/CriteriaQueryCompiler.java,3,4
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/modifiedflags/HasChangedDetachedMultipleCollection.java,3,4
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/TypeOverrides.java,3,4
hibernate-core/src/main/java/org/hibernate/dialect/lock/PessimisticWriteSelectLockingStrategy.java,3,4
hibernate-core/src/test/java/org/hibernate/test/transaction/jdbc/TestExpectedUsage.java,3,4
hibernate-core/src/test/java/org/hibernate/test/dirtiness/Thing.java,3,4
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/onetomany/embeddedid/PersonTuple.java,3,4
hibernate-core/src/main/java/org/hibernate/mapping/OneToMany.java,3,4
hibernate-core/src/main/java/org/hibernate/internal/StatelessSessionImpl.java,3,4
hibernate-core/src/test/java/org/hibernate/connection/DriverManagerRegistrationTest.java,3,4
hibernate-core/src/main/java/org/hibernate/service/jdbc/dialect/internal/StandardDialectResolver.java,3,4
hibernate-core/src/main/java/org/hibernate/hql/spi/TableBasedUpdateHandlerImpl.java,3,4
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/bulk/BulkOperationsTestCase.java,3,3
hibernate-envers/src/main/java/org/hibernate/envers/tools/reflection/ReflectionTools.java,3,3
hibernate-core/src/main/java/org/hibernate/sql/Template.java,3,3
hibernate-core/src/main/java/org/hibernate/engine/internal/Collections.java,3,3
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/proxy/ProxyBuilder.java,3,3
hibernate-core/src/main/java/org/hibernate/proxy/pojo/javassist/JavassistLazyInitializer.java,3,3
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/collection/TransactionalAccess.java,3,3
documentation/src/main/docbook/manual/en-US/content/xml.xml,3,3
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/SqlGenerator.java,3,3
hibernate-core/src/main/java/org/hibernate/exception/internal/SQLExceptionTypeDelegate.java,3,3
hibernate-core/src/main/java/org/hibernate/id/TableHiLoGenerator.java,3,3
hibernate-core/src/main/java/org/hibernate/mapping/Index.java,3,3
hibernate-envers/src/test/java/org/hibernate/envers/test/entities/onetoone/BidirectionalEagerAnnotationRefEdOneToOne.java,3,3
hibernate-core/src/test/java/org/hibernate/test/querycache/StringCompositeKey.java,3,3
hibernate-core/src/main/java/org/hibernate/dialect/RDMSOS2200Dialect.java,3,3
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/MapCollectionMapper.java,3,3
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/exec/BasicExecutor.java,3,3
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/timestamp/TimestampTypeOverrides.java,3,3
hibernate-envers/src/main/java/org/hibernate/envers/event/EnversPostDeleteEventListenerImpl.java,3,3
hibernate-envers/src/main/java/org/hibernate/envers/AuditReader.java,3,3
hibernate-core/src/main/java/org/hibernate/dialect/DB2400Dialect.java,3,3
hibernate-core/src/main/java/org/hibernate/sql/ForUpdateFragment.java,3,3
hibernate-core/src/matrix/java/org/hibernate/test/collection/custom/parameterized/Entity.java,3,3
hibernate-core/src/main/java/org/hibernate/dialect/unique/DB2UniqueDelegate.java,3,3
